authentic = genuine = real = orginal ,"a. nguyên bản, thật",,,,,,,,,,,,,,
promptly = quickly = immediately = fast = instantly = rapidly = swiftly = express= expedited  = at once = in no time = in a timely manner = in a timely fashion = speedily = shortly ,"adv. Nhanh chóng, kịp thời,..",,,,,,,,,,,,,,
reliable = dependable = trustworthy,a. đáng tin cậy,,,,,,,,,,,,,,
reliant = dependent = contingent on,a. phụ thuộc vào,,,,,,,,,,,,,,
stringent = strict = rigorous,a. nghiêm ngặt,,,,,,,,,,,,,,
successive = consecutive = in a row ,"liên tiếp, nối tiếp",,,,,,,,,,,,,,test 1-6 -10-3-7
harsh = inclement = adverse = severe = unfavorable = extreme,"a. khắc nghiệt, bất lợi (thời tiết)",,,,,,,,,,,,,,deliberate 
perform = carry out = conduct = implement = execute = administer = institute = enforce = impose ,"v. thực hiện, tiến hành, thi hành, áp đặt",,,,,,,,,,,,,,commit
exact = precise = accurate,a. chính xác,,,,,,,,,,,,,,
location = venue = site = place = address = position ,n. vị trí,,,,,,,,,,,,,,
thoughtfully = considerately = meticulously = thoroughly = closely = elaborately,"adv. kĩ lưỡng, chu đáo, tỉ mỉ",,,,,,,,,,,,,,
considerable = significant = dramatically = substantial = remarkable = noticeable = marked = sizable = great ,"a. đáng kể, to lớn, đáng chú ý",,,,,,,,,,,,,,
novice = beginner = newcomer ,"n. người mới, chưa có kinh nghiệm",,,,,,,,,,,,,,
novel = new = innovative ,a. mới,,,,,,,,,,,,,,
devise = come up with = develop = formulate = design = invent ,"v. nghĩ ra, phát minh, thiết kế ra",,,,,,,,,,,,,,
change = modify = alter = revise = adjust = differ = vary = shift = switch = amend = edit,"v. thay đổi, sửa đổi",,,,,,,,,,,,,,
accidentally = by mistake = unintentionally = by chance,"adv. Tình cờ, vô tình",,,,,,,,,,,,,,
terminate = end = cancel,"a. kết thúc, hủy",,,,,,,,,,,,,,
affordable = reasonable = inexpensive = cost-effective,"a. hợp lý, phải chăng (giá cả)",,,,,,,,,,,,,,
be committed to = be devoted to = be dedicated to ,"tận tâm, cống hiến cho cái gì đó",,,,,,,,,,,,,,
objective = goal = target = aim = purpose = mission = intent,"n. mục tiêu, mục đích",,,,,,,,,,,,,,
proceeds = turnover = yield = revenue = sales = earnings = returns = gains = margin,n. lợi nhuận,,,,,,,,,,,,,,
convince = persuade ,v. thuyết phục,,,,,,,,,,,,,,
brief = short = concise = condensed,"a. ngắn gọn, cô đọng",,,,,,,,,,,,,,
except (for) = excepting = apart from = aside from = excluding = other than = barring ,prep. Ngoại trừ,,,,,,,,,,,,,,
throughout = across: trên khắp,adv. Trên khắp,,,,,,,,,,,,,,
include = feature = cover = involve = consist of = contain = be composed of = comprise of = factor into,v. bao gồm,,,,,,,,,,,,,,
explicit = clear = straightforward,a. rõ ràng,,,,,,,,,,,,,,
accomplished = excellent = distinguished = notable = exceptional = outstanding = prominent  ,"a. xuất sắc, nổi bật",,,,,,,,,,,,,,
specialize in = excel in = major in = be expert in ,v. chuyên về,,,,,,,,,,,,,,
"famous = well-knowned = famed (for) = renowned = distinguished = acclaimed = noted = higly-profile 
= popular = celebrated = highly regarded = highly reputable ","a. nổi tiếng, được biết tới, được chú ý ",,,,,,,,,,,,,,
exceed = surpass = go beyond = ,"v. vượt qua, vượt qua",,,,,,,,,,,,,,
lead to = result in = bring about = cause = prompt,"v. dẫn đến, gây ra",,,,,,,,,,,,,,
skeptical = doubtful = vague = uncertain ,"a. nghi ngờ, mơ hồ, không chắc",,,,,,,,,,,,,,
realistic = practical = feasible = viable ,"a. khả thi, thực tế",,,,,,,,,,,,,,
inform = advise = notify sb of/about sth: thông báo ai về cái gì # announce sth: thông báo cái gì,,,,,,,,,,,,,,,
qualified = eligible to do sth/ for sth,a. đủ đk cho ,,,,,,,,,,,,,,
appropriate = suitable for = proper ,a. phù hợp ,,,,,,,,,,,,,,
usually = often = regularly = frequently = on a regular basis = commonly = routinely = typically,"adv. Thường, thường xuyên, thông thường",,,,,,,,,,,,,,
following = next = coming/upcoming,"a. tiếp theo, sắp tới",,,,,,,,,,,,,,
enclose = attach = include = accompany = send with = staple,"v. đính kèm, gửi kèm",,,,,,,,,,,,,,
previous = former = prior = preceded = last = past = earlier,a. trước đây,,,,,,,,,,,,,,
only = merely = solely = exclusively,"adv. Chỉ, một cách độc quyền",,,,,,,,,,,,,,
hire = recruit = employ = bring in = engage,v. tuyển dụng,,,,,,,,,,,,,,
look into = inspect = examine = check = investigate ,"v. kiểm tra, điều tra, tìm hiểu",,,,,,,,,,,deliberate ,,,
replicate = duplicate = copy ,v. sao chép,,,,,,,,,,,dividend,,,
designate = authorize = assign = delegate = entrust = commission = grant ,"v. chỉ dịnh, giao phó",,,,,,,,,,,,,,
be named = be appointed = be assigned = be designated ,"được bổ nhiệm, chỉ định chức danh gì đó ",,,,,,,,,,,,,,
be capable of N/Ving = be able/likely to Vo,a. có khả năng làm gì đó,,,,,,,,,,,,,,
jeopardy = danger = hazard ,n. nguy hiểm,,,,,,,,,,,,,,
step down = resign from = depart,v. từ chức,,,,,,,,,,,,,,
commend = compliment on = praise = applaud = recognize sb for sth,v. khen ai về cái gì,,,,,,,,,,,,,,
predict = project = foresee = forcast = anticipate,"v. dự kiến, dự đoán ",,,,,,,,,,,,,,
assume = take on,v. đảm nhận ,,,,,,,,,,,,,,
gain = attain = obtain = acquire = achieve,"v. có được, đạt được",,,,,,,,,,,,,,
acquire = procure = buy = purchase,v. thu mua được,,,,,,,,,,,,,,
prior to = before = in advance of = ahead of = by + thời gian ,prep. Trước một thời điểm nào đó,,,,,,,,,,,,,,
unoccupied = empty = vacant = abandoned = blank,"a. trống, bị bỏ trống",,,,,,,,,,,,,,
sign up for = register for = enroll in ,v. đăng ký,,,,,,,,,,,,,,
accommodate = meet = satisfy = fit = suit = adapt = match ,v. đáp ứng,,,,,,,,,,,,,,
term = provision ,n. điều khoản,,,,,,,,,,,,,,
process = handle = cope with = deal with = address = settle = tackle with = solve = resolve,v. giải quyết,,,,,,,,,,,,,,
primarily = mainly = largely = mostly = chiefly ,adv. Chủ yếu,,,,,,,,,,,,,,
fragile = delicate = breakable = crack,"dễ vỡ, mỏng manh",,,,,,,,,,,,,,
renovate = remodel = innovate = modernize = restore = improve = upgrade = refurbish = refurnish,"v. cải tạo, cải thiện, nâng cấp",,,,,,,,,,,,,,
serve as = act as = function as,v. có vai trò như,,,,,,,,,,,,,,
garment = clothes = clothing = apparel = fabric = attire = textile ,"n. vải, quần áo",,,,,,,,,,,,,,
performance = productivity = effectiveness = efficiency = output = capacity,"n. hiệu suất, hiệu quả ",,,,,,,,,,,,,,
"important = crucial = critical = significant = instrumental in = essential = foremost 
= necessary = imperative = vital = indispensable = key = paramount ","a. quan trọng, cần thiết",,,,,,,,,,,,,,
"associated with = about = on = over = concerning = regarding = pertaining to = as to 
related to = in terms of = pertinent to = with regards to ",prep. Liên quan về,,,,,,,,,,,,,,
occasionally = sometimes = once in a while,adv. Thỉnh thoảng,,,,,,,,,,,,,,
begin = start = commence = initiate = inaugurate = roll out = kick off = embark on ,"v. bắt đầu, khởi xướng",,,,,,,,,,,,,,
try to do sth = make efforts/attempt to do sth = attempt to do sth = endeavor to do sth = strive to Vo,"v. nỗ lực, cố gắng làm gì",,,,,,,,,,,,,,
state-of-the-art = modern = cutting-edge,"a. hiện đại, tiên tiến",,,,,,,,,,,,,,
outdated = old-fashioned = obsolete = out of date,a. lỗi thời,,,,,,,,,,,,,,
align with = in line with = in accordance with = consistent with,phù hợp với,,,,,,,,,,,,,,
comply with = conform to = abide by = adhere to = stick to = obey = follow ,v. tuân theo,,,,,,,,,,,,,,
adequate = enough = sufficient,a. đủ ,,,,,,,,,,,,,,
make a mark = deliver a remark/speech/address,v. phát biểu,,,,,,,,,,,,,,
coworker = peer = partner = teammate = colleague = fellow,n. đồng nghiệp,,,,,,,,,,,,,,
object to = oppose = be against = protest against = disapprove of ,v. phản đối ,,,,,,,,,,,,,,
rival = opponent = competitor = contender ,n. đối thủ,,,,,,,,,,,,,,
supervise = monitor = oversee = observe ,"v. giám sát, quan sát",,,,,,,,,,,,,,
perspective = view = point of view,"n. quan điểm, góc nhìn",,,,,,,,,,,,,,
decline = decrease = reduce = lower = diminish = fall = go down = drop,v. giảm ,,,,,,,,,,,,,,
decline = turn down = deny = refuse = reject,v. từ chối,,,,,,,,,,,,,,
delay = defer = put off = postpone = hold of = suspend = put on hold,"v. hoãn, đình chỉ",,,,,,,,,,,,,,
cease = stop = halt = discontinue ,v. dừng/ ngưng,,,,,,,,,,,,,,
responsible for = accountable for = in charge of,a. chịu trách nhiệm,,,,,,,,,,,,,,
further = extra = additional = supplemental ,"a. bổ sung, thêm vào",,,,,,,,,,,,,,
key = main = primary = principal,a. chính,,,,,,,,,,,,,,
complex = complicated = sophisticated = intricate,a. phức tạp,,,,,,,,,,,,,,
agree sth = consent to sth = accept ,"v. đồng ý, chấp thuận",,,,,,,,,,,,,,
keep sb posted = keep sb updated = keep sb informed ,v. liên tục cập nhật tình hình cho ai,,,,,,,,,,,,,,
fixed = set = flat ,"a. cố định, không thay đổi (giá cả)",,,,,,,,,,,,,,
discard = dispose of = throw away = get rid of ,"v. vứt, bỏ đi",,,,,,,,,,,,,,
go through = = inspect = examine = investigate,"v. kiểm tra, xem qua",,,,,,,,,,,,,,
wholesome = healthy = nutritious,a. tốt cho sức khỏe,,,,,,,,,,,,,,
commitment = dedication = devotion,"n. sự cống hiến, tận tâm",,,,,,,,,,,,,,
content with = satisfied with = pleased with = happy with,a. hài lòng với,,,,,,,,,,,,,,
rather = pretty = fairly  = somewhat = quite = slightly = relatively ,"a. khá, hơi hơi",,,,,,,,,,,,,,
ambitious = aspriring = determined,a. đầy tham vọng ,,,,,,,,,,,,,,
intrigued = appealed = attracted = engaged= interested= drawn = fascinated = captivated = charmed ,a. bị thu hút ,,,,,,,,,,,,,,
elaborate = meticulous = intricate,"(adj) tỉ mỉ, tinh vi, phức tạp, công phu",,,,,,,,,,,,,,
given = considering = on account of = due to = owing to = thanks to = because of = in view of = in light of,prep. Bởi vì,,,,,,,,,,,,,,
come across = encounter = run into,v. gặp phải,,,,,,,,,,,,,,
lasting = durable = permanent ,"a. lâu dài, bền ",,,,,,,,,,,,,,
appear = be featured in ,xuất hiện ,,,,,,,,,,,,,,
roughly = approximately = around = about + số,"adv. Xấp xỉ, khoảng",,,,,,,,,,,,,,
nearly = almost = practically = virtually ,"adv. Hầu hết, hầu như ",,,,,,,,,,,,,,
compel = force = oblige = require,"v. bắt buộc, buộc phải làm gì",,,,,,,,,,,,,,
avenue = boulevard = street = road = drive = way = route = path = lane,n. đường ,,,,,,,,,,,,,,
evaluate = assess = review = appraise = rate ,v. đánh giá ,,,,,,,,,,,,,,
duty = responsibility = mission = task,"n. trách nhiệm, nhiệm vụ",,,,,,,,,,,,,,
finance = fund = grant = sponsor,"v. cấp vốn, tài trợ ",,,,,,,,,,,,,,
property = real estate = realty = asset,"n. tài sản, bds",,,,,,,,,,,,,,
rarely = barely = scarcely = hardly = seldom,"adv. Hiếm khi, hầu như không",,,,,,,,,,,,,,
pavement = sidewalk,n. vỉa hè,,,,,,,,,,,,,,
defective = faulty = malfunction = not working = out of order = out of service = error = broken = flawed = glitch = act up = damaged (không cùng loại từ,"lỗi, hư hỏng (giống nghĩa khác từ loại)",,,,,,,,,,,,,,
deep = profound ,"a. sâu, sâu sắc",,,,,,,,,,,,,,
profession = job = career = occupation,"n. nghề nghiệp, sự nghiệp",,,,,,,,,,,,,,
trash = garbage = rubbish = waste,n. rác,,,,,,,,,,,,,,
succeed =inherit = take over,"v. kế nhiệm, kế vị",,,,,,,,,,,,,,
gratitude = thankfulness = appreciation,"(n) lòng biết ơn, sự nhớ ơn",,,,,,,,,,,,,,
accordingly = therefore = consequently = thus = hence = as a result = so ,adv. vì thế do đó (thường đứng đầu câu),,,,,,,,,,,,,,
accordingly = appropriately = suitably = correspondingly ,adv. Một cách phù hợp (thường đứng cuối câu),,,,,,,,,,,,,,
Replacement = alternative = Substitute,"n. sự thay thế, người thay thế, vật thay thế",,,,,,,,,,,,,,
sketch = draft = outline,n. bản phác thảo,,,,,,,,,,,,,,
contest = competition = match = tournament = game = race,n. cuộc thi,,,,,,,,,,,,,,
