WORD,NGHĨA
1 time a year = once a year = yearly = annualy,hằng năm/thường niên
2 times a years = every six months = biannual,mỗi năm 2 lần
abide by = comply with = follow,tuân theo
accompany = go with,đi theo/ kèm theo
account for,giải thích/ chiếm
accountable for = responsible for = in charge of,chịu trách nhiệm
acquire = obtain = attain = gain,"đạt được, lấy được"
address = speak to,nói chuyện với
adopt = aprove,"chấp nhận, thông qua"
advertisement = commercial,quảng cáo
anniversary = ceremony = celebration,buổi lễ
appoint = assign,bổ nhiệm
approve = agree with,đồng ý
arrange = organize,sắp xếp
assess = evaluate = review = rate,"đánh giá, thẩm định"
assignment = task,nhiệm vụ
attach = include = enclose = send with,"đính kèm, gửi cùng"
attempt = effort,nỗ lực
attract = appeal to,thu hút
banquet = reception = dinner,bữa tiệc
be subject to,"chịu, tùy thuộc vào"
before = prior to = ahead of,trước …..
board = panel,"bảng, ban"
book = reserve = order,"đặt (vé, phòng)"
browse = access,truy cập
careful = cautious,"cẩn thận, cẩn trọng"
carpooling = share car,đi chung xe
carry out = implement = administer = perform,"thực hiện, thực thi"
certainly = sure = definitely = absolutely,chắc chắn rồi
change = modify,thay đổi
chief = boss = leader,lãnh đạo
competition = contest,cuộc thi
compulsory = mandatory = obligatory,bắt buộc
coworker = colleague,đồng nghiệp
current = now,"hiện tại, bây giờ"
decent = fine = good,đẹp/ tốt
demand = needs,nhu cầu
discount = voucher = coupon = speacial offer = promotion,"n. giảm giá, chiết khấu"
document = material = paper = file,tài liệu
drink = beverage,nước uống
ecological = environmental,về môi trường
emphasize = hightlight = press = stress on,nhấn mạnh
establish = found,thành lập
estimate = quote,bảng báo giá
eventual = ultimate = final,cuối cùng
every other year,2 năm một lần
excel at = in = specialzie in = major in,"chuyên về, giỏi về"
exhibit = display,trưng bày
existing = standing,"hiện có, đang tồn tại"
expand = widen,mở rộng
expenditure = spending = cost,chi phí
famous = renowned = popular = well-known,nổi tiếng
favor = helpness,sự giúp đỡ
feedback = questionaire = poll = opinion = survey = data collection = review = response = reaction = comment,"ý kiến, phản hồi, khảo sát( mục đích đều là để lấy được ý kiến khách hàng)"
figure = number,số liệu
figure out = find out,"tìm ra, suy ra"
finalize = complete,hoàn thành
fire = dismiss,sa thải
free = complimentary = free of charge = at no cost = at no fee = at no charge,miễn phí
frequently = often,thường xuyên
give = award = present = deliver,"trao , đưa"
go over = overlook,xem qua
hire = recruit = employ,tuyển dụng
hold = host,tổ chức
in view of = as a result of = because of,bởi vì
Inc = company = corporate = entreprenuer = firm = manufacturer = enterprise,"công ty, tập đoàn, doanh nghiệp"
initial = first = original,ban đầu
inquire = question,"hỏi, thắc mắc"
interest = benefit,lợi ích
inventory = stock,hàng trong kho
job opening = position,vị trí tuyển dụng
job = profession = occupation,"công việc, nghề nghiệp"
journal = magazine = newspaper,baó
largely = mainly = primary,chủ yếu
latest = newest,mới nhất
launch = release,tung ra
let up = stop,dừng lại
lobby = hall,"sảnh, hành lang"
luggage = baggage,hành lý
mall = shopping center,trung tâm thương mại
marked = obvious = plain,rõ rệt
meet (demand = requirement) = accommodate,đáp áp (nhu cầu)
meeting = hearing = session = forum,"buổi họp, buổi gặp,…"
merchandise = product = item = material,món hàng
monitor = screen,màn hình
necessary = essential = important = crucial = critical = vital,"cần thiết, quan trọng"
negotiate = conquer,"thương lượng, trao đổi"
obtain = gain = acquire,"đạt được lấy được, thu được"
occasionally = sometimes,"thỉnh thoảng, đôi khi"
offer = provide = supply,cung cấp
offerings = product = service,"sản phẩm, dịch vụ"
opportunity = chance,cơ hội
parking pass = parking permit,thẻ đậu xe
part = component,linh kiện
participate in = take part in = attend = be present = involved in = engage in,"tham gia, có mặt"
patron = regular customer,khách hàng quen
persuade = convince,thuyết phục
previous = former,trước đây
problem = issue = matter,vấn đề
produce = manufacture,sản xuất
productivity = performance,hiệu suất (làm việc)
prohibit = forbit = ban,cấm
promotion = advancement,sự thăng chức
promptly = quickly = immediatly,ngay lập tức
propose = put forth,đề xuất
provided that = as long as = if,"nếu, miễn là"
publication = book = booklet = volume,sách
publication = periodical = newspaper = magazine = newsletter = jounal,ấn bản sách báo
publisher = press,công ty xuất bản
punctual = on time,đúng giờ
purchase = buy,mua
qualified for = eligible for,đủ điều kiện cho
quarter(ly) = 4 times a year,quý
rarely = barely,hiếm khi
reach = achieve = accomplish = attain,đạt được
reasonable = affordable,"phải chăng, hợp lý (nói về giá cả)"
receipt = invoice = bill,hóa đơn
recover = restore,"khôi phục, hồi phục"
reduce = cut down,giảm
reference = referal = recommendation = suggestion,"sự giới thiệu, đề xuất"
refund = issue = reimburse,hoàn tiền
regarding = about = concerning,liên quan về
register = enroll = sign up,đăng ký
regularly = usually,thương xuyên
reject = decline,từ chối
reliable = dependable,có thể tin cậy
renovate = remodel = refurnish = upgrade = improve = enhance = update,"tân trang , sửa chữa, nâng cấp"
respond to = reply to = answer,"phản hồi, trả lời"
reveal = unveil = disclose,tiết lộ
sample = prototype,mẫu
secret = confidential,bí mật
seeing that = now that = since = as = because,bởi vì
significant = drastic = considerable = substantial,đáng kể
socket = outlet,ổ điện
solve = address = resolve,giải quyết
state of the art = modern = cutting-edge,"hiện đại, tiên tiến"
submit = hand in = file,nộp
supervise = oversee = monitor,giám sát
surgery = operation,phẫu thuật
talk to = address,nói chuyện
target = goal = aim,mục tiêu
trade show = fair = show,hội chợ
